subgroup,n_las,mean_baseline,mean_slope,median_slope,std_slope,mean_change,pct_improving,pct_deteriorating,pct_stable,measure
Older Farming Communities,14,2.885,0.014,0.023,0.032,0.174,0.0,14.286,85.714,anxiety
Prosperous Semi-rural,7,2.933,0.001,-0.001,0.012,0.341,0.0,0.0,100.0,anxiety
Prosperous Towns,22,3.146,0.005,0.002,0.033,0.09,0.0,4.545,95.455,anxiety
Rural Growth Areas,21,2.99,0.01,0.009,0.032,0.112,4.762,14.286,80.952,anxiety
Rural-Urban Fringe,15,3.215,0.002,0.0,0.037,0.143,0.0,6.667,93.333,anxiety
Scottish Countryside,11,2.822,0.014,0.009,0.028,0.117,0.0,27.273,72.727,anxiety
Scottish Industrial Legacy,13,3.146,0.007,0.004,0.021,0.057,0.0,15.385,84.615,anxiety
Seaside Living,5,3.148,0.005,0.014,0.026,-0.15,0.0,20.0,80.0,anxiety
Service Economy,9,3.174,0.021,0.019,0.018,0.176,0.0,22.222,77.778,anxiety
Sparse English and Welsh Countryside,20,3.021,0.006,0.01,0.018,-0.031,0.0,10.0,90.0,anxiety
University Towns and Cities,7,3.299,0.017,0.008,0.023,0.034,0.0,28.571,71.429,anxiety
Urban Living,15,3.085,0.004,0.014,0.038,0.257,6.667,6.667,86.667,anxiety
